baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
DGB,USDT,0.02546,28.1719,0.025434,8890.7843,0.02545,1613071716399.0,9034.8523,2022-04-19 22:13:57.257
DIA,BTC,2.237e-05,74.3258,2.221e-05,211.5857,2.211e-05,1612776106792.0,0.0001,2022-04-19 21:11:46.605
DODO,USDT,0.4027,6640.46774247,0.4018,5216.751,0.4027,1617923930038.0,20.67295753,2022-04-19 21:11:46.678
DOGE,USDT,0.13963,86948.0,0.13962,2999.0,0.13962,1646139294683.0,1.0,2022-04-27 19:43:17.360
DOGE,USDC,0.13904,1400.0,0.13887,5039.8792,0.13902,1645566383446.0,4779.31405553,2022-04-27 19:25:47.358
DOGE,BTC,3.563e-06,5146.4606,3.557e-06,15324.5306,3.56e-06,1645884857376.0,3215.2638,2022-04-27 19:43:17.379
DOGE3L,USDT,0.096699,11228.0,0.096334,18.663,0.096372,1631637439675.0,91.5443,2022-04-19 21:11:46.454
DOGE3S,USDT,1.5759,878.8251,1.5656,51.6792,1.5821,1631675955044.0,1.9048,2022-04-27 19:45:31.254
DOT,BTC,0.00043186,19.4769,0.0004318,8.3,0.00043193,1645650080866.0,0.0106,2022-04-27 19:41:03.807
DOT,USDT,16.928,65.0,16.9252,0.968,16.9304,1618950469335.0,59.0493,2022-04-27 19:44:25.019
DOT3L,USDT,0.1493,1183.0782,0.1483,2245.2886,0.1488,1632388576791.0,102.6227,2022-04-19 21:11:46.456
DOT3S,USDT,1.6526,212.0084,1.6412,212.0084,1.6496,1632365196672.0,17.2743,2022-04-19 21:11:46.556
DPI,USDT,181.56,0.5617,178.5,0.0015,179.77,1621622975481.0,0.0557,2022-04-19 22:27:02.722
DPR,USDT,0.0605,122.6715,0.0602,414.5936,0.0603,1636710260264.0,2061.3597,2022-04-19 21:11:46.445
DSLA,BTC,6.02e-08,245.3,5.95e-08,117901.0498,5.97e-08,1617196039978.0,4382.5907,2022-04-27 19:37:33.277
DSLA,USDT,0.00266,2873.2107,0.00265,11651.3202,0.00265,1617172879363.0,9690.1822,2022-04-19 21:11:46.577
DYDX,USDT,4.171,97.6653,4.168,796.0805,4.169,1632123752427.0,4.4548,2022-04-27 19:21:01.098
DYP,ETH,4.3e-05,25.1064,4.2e-05,45728.727,4.3e-05,1616726831233.0,2.3721,2022-04-27 19:22:08.177
EDG,BTC,1.148e-07,2319.6835,1.144e-07,5114.0419,1.148e-07,1637134940444.0,681.402,2022-04-19 21:11:46.646
EGLD,USDT,149.76,1.8692,149.73,2.2261,149.73,1631933844453.0,2.2261,2022-04-27 19:39:55.858
ELA,USDT,2.3763,21.3625,2.3565,127.7074,2.3563,1621014131294.0,313.7515,2022-04-19 22:15:06.832
ELA,BTC,7.604e-05,189.4269,7.526e-05,171.7165,7.57e-05,1612817761082.0,0.1462,2022-04-27 19:19:47.435
ELA,ETH,0.0007908,165.1924,0.0007686,189.5675,0.0007742,1612860037472.0,16.21609403,2022-04-19 21:11:46.535
ELF,ETH,0.0001102,2278.7735,0.0001096,11956.79,0.0001094,1612811010109.0,0.1768,2022-04-19 21:11:46.726
ELF,BTC,8.2e-06,2747.0341,8.17e-06,4876.5605,8.2e-06,1612765509465.0,0.3977,2022-04-19 21:11:46.726
ENQ,BTC,8.24e-07,6.2874,8.21e-07,365.8108,8.23e-07,1612787821836.0,8227.0,2022-04-19 21:11:46.577
ENS,USDT,18.665,17.1349,18.62,17.0,18.663,1636763058930.0,0.1349,2022-04-27 19:42:10.146
EOS,USDC,2.5927,67.91,2.5904,10.413,2.5904,1614124595396.0,10.413,2022-04-19 21:11:46.478
EOS,BTC,6.326e-05,267.6513,6.322e-05,2.6364,6.327e-05,1613852550813.0,2.2552,2022-04-19 22:27:02.726
EOS,USDT,2.6127,1200.0,2.6123,0.5558,2.6128,1616119006389.0,248.82569142,2022-04-19 22:27:02.728
EOS3L,USDT,0.006435,18000.0,0.006394,8871.1149,0.006398,1622228078378.0,15133.2183,2022-04-27 19:38:48.626
EOS3S,USDT,1.0056,251.2569,0.9985,343.2265,0.9959,1622168661409.0,0.2747,2022-04-19 22:22:25.427
EPIK,USDT,0.0675,617.04719631,0.0673,61.3516,0.0675,1638558063974.0,152.97777777,2022-04-19 21:11:46.537
EPK,USDT,0.05266,6176.57529256,0.05235,4762.0607,0.05235,1651026666058.0,32.7624,2022-04-27 19:09:04.459
EQX,USDT,0.0718,2026.069,0.0715,915.1895,0.0715,1631271244267.0,134.1845,2022-04-19 22:22:25.426
ERG,USDT,3.7058,22.0,3.6963,22.0,3.6973,1628240895486.0,16.0,2022-04-27 19:37:33.270
ERG,BTC,0.0001059,9.5984,0.0001051,6.8,0.000105,1628188112553.0,2.5218,2022-04-19 21:11:46.536
ERTHA,USDT,0.0416,37382.58699231,0.0415,5263.7455,0.0415,1642740888463.0,2417.8473,2022-04-27 19:44:25.036
ETC,BTC,0.0009024,18.775405,0.0009014,0.558646,0.0009034,1613342734715.0,0.010315,2022-04-19 21:11:46.636
ETC,ETH,0.012122,18.77509,0.012109,0.72461,0.012109,1613432932518.0,2e-06,2022-04-19 21:11:46.626
ETC,USDT,31.1617,15.0,31.1484,39.503661,31.1512,1614831295333.0,4.107984,2022-04-27 19:19:47.430
ETH,USDT,2886.25,21.0908848,2886.24,9.4623838,2886.25,1626725174423.0,0.0147456,2022-04-27 19:43:17.347
ETH,DAI,2889.53,0.1591905,2882.13,0.1590863,2877.17,1613224953279.0,0.0762306,2022-04-27 19:19:47.435
ETH,TUSD,2887.31,0.8661536,2885.62,0.2425785,2887.69,1613552405604.0,0.0742556,2022-04-27 19:43:17.376
ETH,BTC,0.073936,9.32,0.073935,8.219497,0.073935,1615564552534.0,0.2459193,2022-05-02 22:13:15.845
ETH,PAX,2890.6,0.1333514,2885.6,0.2425525,2890.72,1613275326104.0,0.00371475,2022-04-27 19:44:25.035
ETH,UST,2881.9,0.0790805,2880.01,0.0235195,2883.6,1613784229320.0,0.0235195,2022-04-27 19:24:34.905
ETH3L,USDT,0.2547,7705.78590821,0.254,1308.0123,0.2543,1618271208871.0,16.538,2022-04-19 22:16:15.178
ETH3S,USDT,0.007457,114236.3694,0.007436,1000.0,0.007456,1618069061919.0,1000.0,2022-04-27 19:25:47.377
ETN,USDT,0.0050293,479.5158,0.0050119,13900.0,0.0050109,1612934814087.0,3067.5375,2022-04-27 19:25:47.380
EXRD,USDT,0.1267,1109.7693,0.1263,652.3006,0.1263,1646880687577.0,1.1602,2022-04-27 19:38:48.625
FALCONS,USDT,0.0335,28080.5317,0.0334,829.9994,0.0334,1639749689331.0,3.1951,2022-04-19 21:11:46.537
FEAR,USDT,0.3793,204.8852,0.3787,34.7368,0.3793,1622204868886.0,8.4646,2022-04-27 19:43:17.378
FET,BTC,8e-06,22.7372,7.99e-06,280.1847,8.01e-06,1612844910117.0,0.6176,2022-04-27 19:38:48.626
FIL,USDT,17.7312,0.7995,17.7281,1.49,17.7343,1614689019632.0,1.49,2022-04-27 19:41:03.809
FKX,BTC,1.0352e-06,1600.3454,1.0195e-06,8606.8447,1.0199e-06,1612857542137.0,548.39,2022-04-19 21:11:46.677
FKX,USDT,0.04234,1343.8461,0.04231,5336.6964,0.04231,1620929667679.0,548.39,2022-04-19 21:11:46.533
FKX,ETH,1.381e-05,1395.4796,1.347e-05,970.858,1.352e-05,1612847183681.0,491.766,2022-04-19 22:13:57.277
FLOW,BTC,0.0001441,80.9559,0.0001435,432.7937,0.0001443,1631644747507.0,0.4215,2022-04-19 21:11:46.555
FLUX,USDT,1.5749,228.12273796,1.5731,410.0,1.5749,1617623760498.0,1.40745444,2022-05-03 12:20:58.493
FLY,USDT,0.003111,109536.7892,0.0031,739971.6295,0.0031,1620321370993.0,37540.8828,2022-04-19 22:15:06.832
