a,b,c,ba_bstb,ba_bsta,ba_bstbsize,ba_bstasize,bc_bstb,bc_bsta,bc_bstbsize,bc_bstasize,ca_bstb,ca_bsta,ca_bstbsize,ca_bstasize,fwd_arb,rev_arb
BTC,BAKE,ETH,1.946e-05,1.955e-05,2869.6959,2.3701,0.0002614,0.0002625,5.1691,2.8444,0.073639,0.07364,2.8289726,3.0,0.5693564085742508,
BTC,BAL,ETH,0.0003663,0.0003675,46.8759,33.3949,0.005176,0.0052,28.6864,28.7375,0.073639,0.07364,2.8289726,3.0,,3.8194882895237647
BTC,BNB,KCS,0.009972,0.0099757,2.8884,1.3884,20.0082,20.0395,0.0178,1.671,0.0005051,0.0005053,0.0593,0.347,,1.4089032531050316
BTC,CXO,ETH,5.63e-06,5.7e-06,79.5248,13734.9552,4.23e-05,4.38e-05,3228.1996,105.1127,0.073639,0.07364,2.8289726,3.0,74.37588590848065,
BTC,DCR,ETH,0.00152262,0.00153717,7.6163,7.6166,0.0205622,0.0205952,0.1397,7.7592,0.073639,0.07364,2.8289726,3.0,0.2946250267554573,
BTC,ELA,ETH,7.526e-05,7.604e-05,171.7165,189.4269,0.0007686,0.0007908,189.5675,165.1924,0.073639,0.07364,2.8289726,3.0,29.106972141906496,
BTC,ELF,ETH,8.17e-06,8.2e-06,4876.5605,2747.0341,0.0001096,0.0001102,11956.79,2278.7735,0.073639,0.07364,2.8289726,3.0,0.5755936546923524,
BTC,ETC,ETH,0.0009014,0.0009024,0.558646,18.775405,0.012109,0.012122,0.72461,18.77509,0.073639,0.07364,2.8289726,3.0,0.8777568936682911,
BTC,FKX,ETH,1.0195e-06,1.0352e-06,8606.8447,1600.3454,1.347e-05,1.381e-05,970.858,1395.4796,0.073639,0.07364,2.8289726,3.0,0.14878716797086522,
BTC,IOST,ETH,7.529e-07,7.559e-07,50.885,10455.259,1.0102e-05,1.0156e-05,20834.6325,19561.3136,0.073639,0.07364,2.8289726,3.0,0.5696057510244046,
BTC,LOKI,ETH,1.486e-05,1.491e-05,3.0728,2.3807,0.0001929,0.0001931,496.2907,247.3688,0.073639,0.07364,2.8289726,3.0,4.397158550342928,
BTC,LRC,ETH,2.284e-05,2.29e-05,2.546,530.9537,0.00030579,0.00030797,743.3318,809.0,0.073639,0.07364,2.8289726,3.0,0.6096942591388599,
BTC,LTC,ETH,0.002727,0.002728,1.506569,1.372945,0.03478,0.03482,1.42431,8.468791,0.073639,0.07364,2.8289726,3.0,6.245003179060893,
BTC,LUNA,KCS,0.00227454,0.00227489,5.5,16.3319,4.476,4.4858,2.3877,7.4487,0.0005051,0.0005053,0.0593,0.347,0.24674878000945366,
BTC,LUNA,ETH,0.00227454,0.00227489,5.5,16.3319,0.030463,0.030486,6.0,6.0,0.073639,0.07364,2.8289726,3.0,1.2150924472990932,
BTC,NEO,KCS,0.0004843,0.0004845,0.063686,0.046832,1.047,1.049,12.904809,0.109342,0.0005051,0.0005053,0.0593,0.347,,9.260792507739923
BTC,NULS,ETH,1.174e-05,1.176e-05,44.940725,386.862969,0.0001389,0.0001446,490.8,178.599233,0.073639,0.07364,2.8289726,3.0,10.141743432328365,
